Restaurant ID,Restaurant Name,Country,City,Locality,Longitude,Latitude,Cuisines,Primary Cuisine,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Price range,Aggregate rating,Rating color,Rating text,Is Rated,Votes
6317637,Le Petit Souffle,Philippines,Makati City,"Century City Mall, Poblacion, Makati City",121.027535,14.565443,"French, Japanese, Desserts",French,1100,Botswana Pula(P),Yes,No,No,3,4.8,Dark Green,Excellent,True,314
6304287,Izakaya Kikufuji,Philippines,Makati City,"Little Tokyo, Legaspi Village, Makati City",121.014101,14.553708,Japanese,Japanese,1200,Botswana Pula(P),Yes,No,No,3,4.5,Dark Green,Excellent,True,591
6300002,Heat - Edsa Shangri-La,Philippines,Mandaluyong City,"Edsa Shangri-La, Ortigas, Mandaluyong City",121.056831,14.581404,"Seafood, Asian, Filipino, Indian",Seafood,4000,Botswana Pula(P),Yes,No,No,4,4.4,Green,Very Good,True,270
6318506,Ooma,Philippines,Mandaluyong City,"SM Megamall, Ortigas, Mandaluyong City",121.056475,14.585318,"Japanese, Sushi",Japanese,1500,Botswana Pula(P),No,No,No,4,4.9,Dark Green,Excellent,True,365
6314302,Sambo Kojin,Philippines,Mandaluyong City,"SM Megamall, Ortigas, Mandaluyong City",121.057508,14.58445,"Japanese, Korean",Japanese,1500,Botswana Pula(P),Yes,No,No,4,4.8,Dark Green,Excellent,True,229
18189371,Din Tai Fung,Philippines,Mandaluyong City,"SM Megamall, Ortigas, Mandaluyong City",121.056314,14.583764,Chinese,Chinese,1000,Botswana Pula(P),No,No,No,3,4.4,Green,Very Good,True,336
6300781,Buffet 101,Philippines,Pasay City,"SM by the Bay, Mall of Asia Complex, Pasay City",120.9796667,14.53133333,"Asian, European",Asian,2000,Botswana Pula(P),Yes,No,No,4,4.0,Green,Very Good,True,520
6301290,Vikings,Philippines,Pasay City,"SM by the Bay, Mall of Asia Complex, Pasay City",120.9793333,14.54,"Seafood, Filipino, Asian, European",Seafood,2000,Botswana Pula(P),Yes,No,No,4,4.2,Green,Very Good,True,677
6300010,Spiral - Sofitel Philippine Plaza Manila,Philippines,Pasay City,"Sofitel Philippine Plaza Manila, Pasay City",120.98009,14.55299,"European, Asian, Indian",European,6000,Botswana Pula(P),Yes,No,No,4,4.9,Dark Green,Excellent,True,621
6314987,Locavore,Philippines,Pasig City,Kapitolyo,121.056532,14.572041,Filipino,Filipino,1100,Botswana Pula(P),Yes,No,No,3,4.8,Dark Green,Excellent,True,532
6309903,Silantro Fil-Mex,Philippines,Pasig City,Kapitolyo,121.057916,14.567689,"Filipino, Mexican",Filipino,800,Botswana Pula(P),No,No,No,3,4.9,Dark Green,Excellent,True,1070
6309455,Mad Mark's Creamery & Good Eats,Philippines,Pasig City,Kapitolyo,121.06082,14.570849,"American, Ice Cream, Desserts",American,900,Botswana Pula(P),Yes,No,No,3,4.2,Green,Very Good,True,488
6318433,Silantro Fil-Mex,Philippines,Quezon City,"UP Town Center, Diliman, Quezon City",121.075419,14.649503,"Filipino, Mexican",Filipino,800,Botswana Pula(P),No,No,No,3,4.8,Dark Green,Excellent,True,294
6310470,Guevarra's,Philippines,San Juan City,Addition Hills,121.0335917,14.59345,Filipino,Filipino,1000,Botswana Pula(P),Yes,No,No,3,4.2,Green,Very Good,True,458
